_id,text
ObjectId("5e28fe3f9f32ef20387f42ee"),RT @24_morelos: #Nacional | Un hombre de la tercera edad cerraba su negocio de muebles en la #CDMX cuando dos hombres armados lo intercepta…
ObjectId("5e28fe3f9f32ef20387f42ef"),RT @telediario: 🔴#EnDirecto Detienen a familiar de cajero presuntamente involucrado en el asalto del Diputado de Morena, Emmanuel Vargas Be…
ObjectId("5e28fe3f9f32ef20387f42f0"),RT @telediario: 🔴#EnDirecto Detienen a familiar de cajero presuntamente involucrado en el asalto del Diputado de Morena, Emmanuel Vargas Be…
ObjectId("5e28fe3f9f32ef20387f42f1"),RT @telediario: 🔴#EnDirecto Detienen a familiar de cajero presuntamente involucrado en el asalto del Diputado de Morena, Emmanuel Vargas Be…
ObjectId("5e28fe3f9f32ef20387f42f2"),"Nos quitaron a nuestro husky": Ahora denuncian secuestro de perrito en avenida Universidad https://t.co/l2IfHs2rmz
ObjectId("5e28fe3f9f32ef20387f42f3"),#Nacional | Un hombre de la tercera edad cerraba su negocio de muebles en la #CDMX cuando dos hombres armados lo in… https://t.co/4cv2TZmWup
ObjectId("5e28fe3f9f32ef20387f42f4"),RT @telediario: 🔴#EnDirecto Detienen a familiar de cajero presuntamente involucrado en el asalto del Diputado de Morena, Emmanuel Vargas Be…
ObjectId("5e28fe3f9f32ef20387f42f5"),RT @telediario: 🔴#EnDirecto Detienen a familiar de cajero presuntamente involucrado en el asalto del Diputado de Morena, Emmanuel Vargas Be…
ObjectId("5e28fe3f9f32ef20387f42f6"),RT @telediario: 🔴#EnDirecto Detienen a familiar de cajero presuntamente involucrado en el asalto del Diputado de Morena, Emmanuel Vargas Be…
ObjectId("5e28fe3f9f32ef20387f42f7"),RT @irmoralesl: La delincuencia no da tregua en la capital. Lo más preocupante es el nivel de colusión de autoridades. https://t.co/UpQqxdy…
ObjectId("5e28fe3f9f32ef20387f42f8"),RT @irmoralesl: La delincuencia no da tregua en la capital. Lo más preocupante es el nivel de colusión de autoridades. https://t.co/UpQqxdy…
ObjectId("5e28fe3f9f32ef20387f42f9"),RT @irmoralesl: La delincuencia no da tregua en la capital. Lo más preocupante es el nivel de colusión de autoridades. https://t.co/UpQqxdy…
